city,latitude,longitude,timestamp,aqi,pm2_5,pm10,no2,o3,co,so2,nh3,aqi_category,cluster_id,new_category,bmkg_normalized
Bekasi,-6.2383,106.9756,2026-04-04T08:51:44.447309,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-04T08:51:47.115015,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:51:47.122392,1,10.66,12.76,2.43,55.2,241.14,0.93,1.05,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:51:47.131248,1,6.01,7.31,0.76,46.75,170.0,0.27,0.42,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:51:47.138423,1,0.5,0.75,0.13,10.2,95.86,0.02,0.58,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:51:47.144787,1,11.16,13.43,2.89,54.4,304.19,2.29,0.94,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:51:47.152910,1,1.9,3.2,0.14,38.06,87.16,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:51:47.158712,1,5.55,6.02,0.52,44.8,251.93,0.17,0.18,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:51:47.165442,2,16.88,19.04,2.03,62.3,251.94,0.87,2.04,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:51:47.174622,1,8.07,9.44,0.78,40.47,134.75,0.35,0.75,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-04T08:51:47.182283,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-04T08:51:49.869644,1,12.32,14.46,1.88,52.02,203.26,0.73,2.08,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:51:49.882032,1,10.66,12.76,2.43,55.2,241.14,0.93,1.05,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:51:49.889508,1,6.01,7.31,0.76,46.75,170.0,0.27,0.42,Baik,1,Baru_Baik,Baru_Baik
